gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-92.073,-40.549,-43.171,0.381,-0.158,0.13
-94.573,-41.89,-43.171,0.387,-0.2,0.125
-96.524,-42.744,-43.78,0.394,-0.263,0.115
-98.354,-43.232,-44.756,0.397,-0.324,0.104
-100,-43.476,-46.159,0.406,-0.382,0.078
-101.28,-43.354,-47.561,0.446,-0.436,0.03
-101.83,-43.11,-49.634,0.503,-0.48,-0.013
-101.58,-42.622,-52.256,0.553,-0.516,-0.043
-100.92,-42.073,-55.183,0.584,-0.551,-0.061
-99.512,-41.22,-58.476,0.61,-0.593,-0.057
-97.744,-40.122,-62.073,0.653,-0.604,-0.042
-95.488,-38.963,-65.915,0.708,-0.612,-0.04
-92.439,-37.439,-69.878,0.726,-0.623,-0.041
-89.39,-35.732,-74.756,0.705,-0.626,-0.066
-86.524,-33.902,-80.244,0.712,-0.59,-0.136
-82.622,-31.646,-86.28,0.757,-0.66,-0.229
-77.988,-28.598,-92.683,0.834,-0.6,-0.258
-73.049,-24.695,-99.512,0.887,-0.646,-0.28
-67.622,-20,-107.07,1.028,-0.497,-0.263
-61.341,-14.268,-115.61,1.043,-0.43,-0.243
-54.268,-8.232,-124.88,1.13,-0.319,-0.275
-46.159,-2.134,-134.88,1.288,-0.196,-0.332
-37.195,4.939,-145.49,1.362,-0.133,-0.404
-26.829,12.988,-156.52,1.498,0.089,-0.459
-14.695,20.854,-167.81,1.625,0.33,-0.473
-0.427,28.841,-179.15,1.756,0.615,-0.511
15.183,37.073,-189.94,1.895,1.019,-0.563
33.415,45,-199.94,1.955,1.398,-0.641
55.549,52.927,-210.06,1.975,1.863,-0.772
81.098,61.402,-220.12,1.977,2.353,-0.951
107.07,69.329,-231.1,1.966,2.911,-1.164
138.23,77.195,-240.91,1.938,3.629,-1.405
171.52,86.707,-251.46,1.874,4.366,-1.669
205.85,95.61,-263.23,1.77,5.059,-1.948
241.89,104.27,-276.46,1.663,5.666,-2.318
278.6,112.81,-287.99,1.573,6.156,-2.826
316.04,119.27,-300.31,1.597,6.416,-3.3
354.63,125.55,-312.87,1.734,6.405,-3.615
392.32,130.79,-325.92,1.976,6.337,-3.844
430.06,134.76,-338.96,2.283,6.166,-3.972
468.29,139.45,-350,2.572,5.735,-3.978
508.54,144.57,-359.76,2.758,5.196,-3.977
550.12,149.76,-367.01,2.908,4.616,-3.952
588.78,155.73,-369.69,3.085,4.017,-3.906
622.32,161.52,-368.54,3.157,3.515,-3.887
651.65,167.81,-363.35,3.056,3.162,-3.823
671.83,174.21,-354.76,2.975,2.743,-3.767
681.52,184.33,-343.11,2.733,2.307,-3.739
683.84,198.17,-323.29,2.4,2.032,-3.775
675.12,216.28,-292.62,2.03,1.789,-3.877
657.93,238.9,-255.49,1.595,1.642,-4.101
635.49,265.61,-208.17,1.033,1.578,-4.346
606.77,296.83,-157.44,0.557,1.577,-4.563
572.5,334.51,-105.18,0.122,1.625,-4.717
533.41,376.77,-59.695,-0.253,1.562,-4.666
492.38,420.37,-17.5,-0.492,1.475,-4.388
445.24,461.77,22.317,-0.735,1.565,-4.134
394.33,504.94,59.756,-0.886,1.763,-3.945
345.85,546.4,99.878,-1.208,1.746,-3.881
300.18,585.06,139.82,-1.806,1.81,-3.864
262.13,624.82,178.72,-2.345,1.869,-3.882
233.23,662.87,219.45,-2.723,1.991,-3.675
211.95,696.34,259.94,-3.036,2.016,-3.658
200.12,725.49,300.31,-3.251,2.081,-3.893
196.89,751.16,340.73,-3.862,2.421,-4.225
200.61,766.89,378.72,-4.874,2.689,-3.707
209.21,779.33,411.83,-6.319,2.549,-2.661
224.69,787.56,440.55,-7.547,1.881,-1.765
242.99,792.13,462.62,-7.624,1.434,-1.726
260.79,794.63,481.95,-6.49,0.866,-1.965
274.39,792.07,496.95,-5.247,-0.063,-2.43
282.87,787.32,503.05,-4.774,-0.646,-2.81
289.27,784.02,497.13,-4.419,-0.576,-2.597
292.07,771.16,481.34,-3.563,-0.279,-2.007
288.29,752.2,447.19,-2.638,0.023,-1.331
275.24,714.57,406.95,-2.201,0.376,-0.666
249.27,656.65,367.68,-2.197,0.778,-0.083
200.85,585.61,330.12,-2.302,1.252,0.321
142.32,501.95,300.92,-2.527,2.04,0.596
82.805,416.83,272.26,-2.627,1.998,0.744
36.585,341.04,244.27,-2.612,2.136,0.601
3.963,273.72,213.35,-2.587,2.097,0.352
-27.378,194.57,187.13,-2.472,1.652,0.188
-32.012,115.98,169.51,-2.396,1.583,0.16
8.537,57.256,167.93,-2.068,1.174,0.169
67.317,11.22,174.63,-1.59,0.731,0.142
152.19,-30.732,175.79,-1.2,0.513,-0.061
256.77,-60.854,166.22,-0.958,0.371,-0.319
345.98,-65.732,149.82,-0.784,0.293,-0.524
402.56,-49.695,135.67,-0.553,0.281,-0.709
421.58,-24.329,122.81,-0.31,0.397,-0.846
413.17,8.171,107.68,-0.126,0.637,-0.938
340.85,36.159,94.268,-0.006,0.894,-0.988
238.78,39.268,72.805,0.099,1.182,-1.036
123.9,34.634,56.037,0.223,1.489,-1.053
-4.329,12.622,33.171,0.384,1.766,-1.122
-106.83,-8.476,7.195,0.541,2.004,-1.29
-188.05,-33.841,-19.573,0.611,2.223,-1.466
-243.35,-64.329,-48.902,0.677,2.383,-1.59
-273.66,-90.793,-75.183,0.815,2.526,-1.723
-283.84,-113.72,-96.098,0.972,2.686,-1.872
-278.54,-137.07,-114.88,1.11,2.755,-2.001
-260.31,-162.26,-134.21,1.191,2.764,-2.027
-230.73,-187.99,-154.82,1.295,2.796,-1.996
-196.95,-210.61,-175.06,1.422,2.884,-2.008
-165.91,-227.62,-193.05,1.504,2.908,-1.98
-144.21,-239.33,-209.27,1.573,2.856,-2.007
-135.18,-246.34,-223.11,1.653,2.728,-2.009
-139.88,-249.94,-234.51,1.673,2.643,-1.947
-158.9,-250.49,-244.57,1.769,2.477,-1.873
-191.46,-247.19,-252.5,1.854,2.27,-1.752
-235.43,-242.74,-258.54,1.935,2.04,-1.628
-287.99,-238.17,-264.63,2.015,1.801,-1.432
-346.4,-235.12,-270.06,2.093,1.62,-1.112
-409.33,-231.71,-274.76,2.178,1.464,-0.701
-475.55,-224.39,-279.27,2.275,1.366,-0.382
-541.65,-216.46,-283.11,2.341,1.303,-0.232
-607.8,-203.48,-286.83,2.318,1.274,-0.145
-671.4,-191.77,-290,2.239,1.224,-0.072
-729.27,-177.44,-292.19,2.215,1.162,0.053
-783.9,-159.39,-295,2.225,1.064,0.237
-828.6,-149.94,-292.87,2.223,0.958,0.426
-864.21,-131.28,-295.43,2.174,0.885,0.599
-888.35,-110.79,-295.49,2.116,0.857,0.698
-895.67,-98.841,-289.33,2.028,0.857,0.714
-886.95,-88.293,-281.22,1.977,0.833,0.64
-862.2,-78.78,-269.33,1.951,0.764,0.557
-822.8,-69.939,-252.93,1.916,0.727,0.5
-773.48,-60.793,-235.85,1.883,0.621,0.512
-715.43,-52.5,-219.63,1.848,0.53,0.544
