Frame,Time,RightHand_Accel_X,RightHand_Accel_Y,RightHand_Accel_Z,LeftHand_Accel_X,LeftHand_Accel_Y,LeftHand_Accel_Z,Label
18.0,0.300006,-33.70027609371334,-52.321063424987685,5.595918236300999,-116.79463716851744,-61.731271556312194,-159.86974545252104,0
19.0,0.316673,-54.06537770514768,-61.20586706782237,1.939511451668441,-121.20491630608272,-68.06566864070773,-153.69718480568676,0
20.0,0.33334,-74.7823319364631,-70.41144835702973,-4.880136035419147,-129.90252462872115,-68.47369399908655,-144.42709686888568,0
21.0,0.350007,-90.83887271278245,-78.06915957674124,-15.722450308758011,-137.80780882714882,-65.92545798531964,-135.70608702429172,0
22.0,0.366674,-96.65799743621425,-79.71256889533743,-27.152881567486244,-141.06843893562214,-61.50367936404629,-130.65074088894698,0
23.0,0.383341,-88.65328329036097,-72.25625637101854,-30.42331639534305,-141.0374221567049,-55.53335496707244,-127.91934177547682,0
24.0,0.400008,-68.66183444336086,-56.98919802972426,-18.520297187676515,-143.1016957739276,-48.43741674645081,-123.05958767859084,0
25.0,0.416675,-45.285541470044905,-39.75166448321048,4.857225214777738,-151.13149298742184,-40.22602637245155,-113.70484303659654,0
26.0,0.433342,-29.26771072836128,-27.147941538504984,27.13830426112745,-164.00681171165445,-30.22816209907212,-101.83662527050612,0
27.0,0.450009,-25.58934012906668,-21.75092127495792,38.66896419363903,-177.0747777903282,-18.2515726390826,-90.88459274308872,0
28.0,0.466676,-30.54285949319781,-21.736670500459983,39.85376629452808,-185.50011885934344,-6.359965923001454,-81.98681239412412,0
29.0,0.483343,-36.447817371010736,-24.380546846148448,36.98065132941182,-186.651990892526,1.2166271415782308,-73.57443477221776,0
30.0,0.5000100000000001,-38.235575072293045,-27.58878650462833,34.78972798000531,-180.85245622568655,1.370847386897727,-63.81100965864949,0
31.0,0.516677,-35.91663830313774,-28.41107177082567,34.075332196188654,-170.04925950953222,-4.533788722042499,-52.63383889299759,0
32.0,0.533344,-32.191971014502755,-23.06747623586064,33.8020427878911,-155.3783338820697,-11.583031057536786,-41.69236184643658,0
33.0,0.550011,-28.99564763797301,-9.856645698041651,33.25203920456019,-136.54789911815158,-15.358311400179556,-33.210875273224545,0
34.0,0.566678,-26.71302953353857,8.829996770576022,32.22741314704591,-113.8004273049201,-14.225045433351388,-28.767655593104354,0
35.0,0.583345,-25.39047306057152,28.093390047983164,30.47569856620673,-89.20452781366423,-8.40734379494462,-28.069568969176125,0
36.0,0.600012,-25.15259961473953,44.30249770088104,27.61679034444323,-65.14834278413747,1.624199459258671,-28.86721290816297,0
37.0,0.6166790000000001,-25.77276146713997,57.50028095087978,23.431384905934625,-42.45361947534264,15.468191459421206,-28.94449218748953,0
38.0,0.6333460000000001,-26.983641104944923,69.7962380808878,18.10351719349004,-20.72722372213924,31.862186507741765,-27.99460343406837,0
39.0,0.6500130000000001,-29.06140955206987,81.30574626918968,12.548290881351782,0.3344799965918767,47.878026251765874,-26.841931288135285,0
40.0,0.66668,-32.15573252886638,88.57028760658963,8.716852828169621,20.853227029638816,60.04653783813379,-25.401897793962576,0
41.0,0.683347,-34.88255959482501,87.60882681407324,9.060051645511455,41.23645081948513,67.0691778764367,-22.36380328542753,0
42.0,0.700014,-34.436864213519314,78.30931662449433,14.534721996785484,61.86791018410501,70.81177754846682,-16.809573349287923,0
43.0,0.716681,-28.90122223212653,65.53731369708476,22.508039766429636,82.72823860340846,73.63807055851217,-9.830385896046836,0
44.0,0.7333480000000001,-19.212687703932968,55.47663896034335,27.92406109333456,103.88834928419774,75.1624882958537,-4.728087114661366,0
45.0,0.7500150000000001,-8.315641380387833,50.4081068233268,28.336508349363427,126.08201731893926,72.71415631285367,-5.710982521913348,0
46.0,0.7666820000000001,1.478136231513434,47.32367472438481,27.24950311659848,150.2645103779931,64.67498703511288,-15.988809383461383,0
47.0,0.7833490000000001,10.26301025756094,41.783293544700925,30.96101417107191,176.33221661053577,52.07095930082743,-35.88410650902001,0
48.0,0.8000160000000001,20.568495929561514,32.66807693549586,43.180516958146,202.3990766868788,37.09947834719156,-61.179100893677216,0
49.0,0.816683,36.17304479677753,23.668106857978227,64.77106916216995,226.46165043759265,22.1287822159409,-84.21016741928307,0
