gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-15.976,4.024,23.476,0.436,-0.498,0.298
-14.939,1.585,28.11,0.465,-0.505,0.311
-14.39,-0.427,33.232,0.484,-0.513,0.319
-14.329,-1.89,38.415,0.5,-0.517,0.336
-14.756,-2.5,43.598,0.53,-0.53,0.363
-16.159,-2.622,48.171,0.57,-0.548,0.39
-17.5,-2.622,51.89,0.606,-0.571,0.418
-19.695,-2.012,54.573,0.646,-0.589,0.447
-22.256,-0.366,56.159,0.688,-0.604,0.475
-24.573,2.012,56.89,0.726,-0.609,0.502
-26.707,4.39,56.402,0.764,-0.602,0.533
-28.841,7.195,54.878,0.813,-0.593,0.569
-30.244,10.183,52.134,0.858,-0.573,0.601
-30.915,13.293,49.024,0.899,-0.56,0.615
-31.22,16.402,45.488,0.946,-0.55,0.627
-30.61,19.085,41.768,0.994,-0.536,0.646
-28.78,21.768,38.171,1.045,-0.527,0.67
-26.22,24.207,33.902,1.094,-0.524,0.689
-22.988,26.22,28.902,1.146,-0.528,0.704
-18.598,27.683,23.72,1.203,-0.542,0.708
-13.171,28.963,18.537,1.261,-0.569,0.699
-7.012,29.695,13.11,1.302,-0.582,0.692
-0.061,29.695,7.073,1.336,-0.598,0.682
7.683,28.902,0.976,1.361,-0.618,0.688
15.915,27.683,-5.122,1.377,-0.63,0.688
23.963,25.732,-11.098,1.381,-0.63,0.68
31.098,23.415,-16.646,1.366,-0.632,0.663
37.5,20.732,-21.402,1.335,-0.64,0.646
42.988,17.805,-25.61,1.299,-0.641,0.625
46.951,14.817,-29.268,1.257,-0.629,0.603
49.756,12.073,-32.195,1.215,-0.621,0.579
51.28,9.39,-34.573,1.166,-0.621,0.562
51.585,6.707,-36.585,1.119,-0.62,0.542
50.671,4.207,-37.744,1.075,-0.605,0.524
48.72,1.768,-38.78,1.036,-0.583,0.505
46.28,-0.488,-39.695,0.989,-0.557,0.481
42.927,-2.561,-40.122,0.944,-0.535,0.455
39.085,-4.329,-40.244,0.89,-0.516,0.432
34.756,-5.976,-40.305,0.849,-0.5,0.402
30.244,-7.195,-40.183,0.806,-0.48,0.38
25.488,-8.476,-39.756,0.764,-0.457,0.357
20.915,-9.634,-39.024,0.725,-0.434,0.328
16.341,-10.366,-38.049,0.683,-0.415,0.293
12.012,-11.22,-36.585,0.647,-0.396,0.271
8.049,-11.89,-35.061,0.616,-0.377,0.25
4.39,-12.317,-33.415,0.593,-0.366,0.242
0.976,-12.378,-31.159,0.576,-0.357,0.232
-2.256,-12.256,-28.598,0.553,-0.349,0.222
-4.939,-11.951,-25.915,0.533,-0.352,0.203
