Frame,Time,RightHand_Accel_X,RightHand_Accel_Y,RightHand_Accel_Z,LeftHand_Accel_X,LeftHand_Accel_Y,LeftHand_Accel_Z,Label
29.0,0.483343,-11.27080233019216,-0.5122529131987661,3.278538950612548,-9.975296692242567,0.2567202951013824,-2.60583776302431,0
30.0,0.5000100000000001,-10.738939915159104,1.2156042426983955,3.824660479911808,-8.852286362080424,-0.2355836305499284,-1.6836353619696487,0
31.0,0.516677,-8.077716018035137,4.489597830012508,4.50305911145654,-7.068829365496331,0.7133669401370135,-0.8936931966377499,0
32.0,0.533344,-5.85735229417474,7.367070355300115,4.702302200609177,-4.6635003146041765,3.763667847842681,-0.8410433902083627,0
33.0,0.550011,-5.321307924241795,8.790122320283238,4.234971251638664,-2.75737559888242,8.106139626664262,-1.6410386345736372,0
34.0,0.566678,-5.649113142234663,9.06113857397795,3.529953622480278,-2.707382349341405,11.448437563627692,-2.70453800637717,0
35.0,0.583345,-5.2029289223875566,9.067316968675078,3.0800320915233472,-4.69773505976119,11.702020941474032,-3.2207756301208006,0
36.0,0.600012,-3.205295517046276,9.302229713906833,2.8534925461629745,-7.253057967303766,8.782772625012711,-2.824812660209206,0
37.0,0.6166790000000001,-0.3480243615881678,9.561169326259856,2.314391965493043,-8.13819356734545,4.630614575543524,-1.834890857732527,0
38.0,0.6333460000000001,2.131693834673825,9.343735173723802,1.0338074800685773,-5.899235395123002,1.535048581104331,-0.8890816307434941,0
39.0,0.6500130000000001,3.836939513591644,8.334733135663207,-0.653810965520432,-0.947979342049378,0.4934722553006063,-0.3098038100942478,0
40.0,0.66668,5.434687322365583,6.477036955697971,-1.6869699463093464,4.667768093918779,0.8619923055000775,0.2041365196153143,0
41.0,0.683347,7.612126359260804,3.858357630172226,-1.2231464650559043,8.757571208782151,1.2104495071142396,1.1901228358338554,0
42.0,0.700014,10.244048540957923,0.7736973662258066,0.4415166559194456,10.422950707556728,0.5500662217516298,2.738657275341989,0
43.0,0.716681,12.70615230456277,-2.2313082859134763,2.159865360285149,10.142122479377338,-1.0250231453230665,4.371960234111528,0
44.0,0.7333480000000001,14.633740852858145,-4.623464755876624,3.1216283416842696,8.843092492651573,-2.722296268568281,5.629931484501881,0
45.0,0.7500150000000001,16.030344514584137,-6.198933635605709,3.4246624608252905,7.208884003512111,-3.857522977622925,6.492579331210578,0
46.0,0.7666820000000001,16.74653726990737,-7.1005128399175526,3.463205821085146,5.614528761373389,-4.256061816928765,7.065177398266584,0
47.0,0.7833490000000001,16.221607937771193,-7.661427743265398,3.163928752847135,4.281250987538083,-4.290996771546361,7.12648764261955,0
48.0,0.8000160000000001,13.914302682476196,-8.360741842504538,2.0516383149113757,3.4212325169799715,-4.843339003263508,6.296148370045319,0
